insolation_flux,transit_depth,stellar_rad,planet_radius,orbital_period,stellar_logg,mission,disposition,equilibrium_temp,stellar_teff,transit_duration
60.35,459.9,0.878,1.88,14.1798187,4.539,Kepler,FALSE POSITIVE,711.0,5799.0,2.505
75.44,1123.5,0.788,2.59,8.47237911,4.587,Kepler,CANDIDATE,751.0,5354.0,2.7245
5.49,931.3,0.788,2.36,60.4189369,4.587,Kepler,CANDIDATE,390.0,5354.0,5.039
76.15,6105.6,0.919,7.4,12.611904345,4.508,Kepler,CANDIDATE,753.0,5795.0,5.1497
3209.29,1976.3,1.339,46.58,1.433769925,4.22,Kepler,FALSE POSITIVE,1920.0,6017.0,1.8868
139.26,871.7,1.06,28.59,10.31872301,4.409,Kepler,FALSE POSITIVE,876.0,5927.0,3.836
743.09,382.1,1.062,2.06,2.539183147,4.35,Kepler,CANDIDATE,1332.0,5519.0,2.4282
102.87,1304.0,0.679,2.77,6.770300385,4.656,Kepler,CANDIDATE,812.0,5653.0,2.0844
2706.26,10967.0,0.636,27.51,0.444291966,4.678,Kepler,FALSE POSITIVE,1836.0,5255.0,2.0792
102.91,5741.1,0.836,7.73,10.181584004,4.541,Kepler,CANDIDATE,812.0,5988.0,3.5089
4.0,1494.7,0.493,1.96,20.06036336,4.754,Kepler,CANDIDATE,361.0,3950.0,3.3203
1.32,1394.7,0.493,1.83,46.1842039,4.754,Kepler,CANDIDATE,273.0,3950.0,4.758
41.94,104.0,1.012,1.31,23.9800854,4.406,Kepler,CANDIDATE,649.0,5854.0,5.351
14.05,520.8,0.493,1.2,7.82502168,4.754,Kepler,CANDIDATE,494.0,3950.0,2.186
241.62,8544.8,0.774,7.34,3.895936525,4.592,Kepler,CANDIDATE,1005.0,5557.0,2.3111
19.45,986.8,0.734,2.32,22.36646466,4.615,Kepler,CANDIDATE,536.0,5395.0,5.228
1467.41,7969.0,1.106,9.73,1.625522174,4.322,Kepler,CANDIDATE,1579.0,5539.0,2.38963
40.39,21725.0,0.905,13.6,19.620346923,4.492,Kepler,CANDIDATE,643.0,5710.0,2.0038
116.46,322.6,0.824,17.47,7.544039,4.567,Kepler,FALSE POSITIVE,838.0,5657.0,6.222
77.75,1019.8,0.82,2.57,9.02930689,4.526,Kepler,CANDIDATE,757.0,5349.0,3.1449
119.31,16918.0,1.024,13.28,10.328035714,4.359,Kepler,FALSE POSITIVE,843.0,5627.0,7.7915
2.14,10566.0,0.867,8.9,143.2063047,4.556,Kepler,CANDIDATE,308.0,5485.0,8.9302
256.35,55.8,1.012,0.79,6.164876,4.406,Kepler,CANDIDATE,1021.0,5854.0,3.262
6.77,20280.0,0.867,12.19,60.32494216,4.556,Kepler,CANDIDATE,411.0,5485.0,6.6188
17.85,488.0,0.867,1.91,29.1598615,4.556,Kepler,CANDIDATE,524.0,5485.0,4.803
1105.68,816.1,0.915,25.69,1.540397253,4.53,Kepler,FALSE POSITIVE,1470.0,5663.0,2.1541
168.45,589.2,0.731,1.7,2.99025443,4.578,Kepler,FALSE POSITIVE,918.0,4667.0,5.414
1329.42,15044.0,0.893,11.3,1.594745374,4.491,Kepler,CANDIDATE,1539.0,5934.0,1.9604
145.48,1008.7,0.807,2.5,4.783002698,4.574,Kepler,CANDIDATE,886.0,5170.0,2.335
17.06,2105.5,0.761,3.41,20.50588921,4.544,Kepler,CANDIDATE,518.0,4905.0,4.0595
43.73,1632.6,0.493,2.03,3.340218842,4.754,Kepler,CANDIDATE,656.0,3950.0,1.9104
730.47,1339.2,0.939,30.26,2.507089906,4.506,Kepler,FALSE POSITIVE,1326.0,5926.0,2.0067
57.13,893.6,1.053,3.12,18.64932728,4.405,Kepler,CANDIDATE,701.0,5775.0,4.4056
598.74,140.7,1.402,1.7,4.90144976,4.191,Kepler,CANDIDATE,1262.0,5847.0,4.1654
135.66,418.0,1.053,2.76,9.75192101,4.405,Kepler,CANDIDATE,870.0,5775.0,4.793
21.71,993.0,1.053,4.02,38.5576546,4.405,Kepler,CANDIDATE,550.0,5775.0,5.794
213.12,22335.0,0.793,11.58,3.525632539,4.572,Kepler,CANDIDATE,975.0,5150.0,2.59959
16.1,4523.6,0.871,7.61,34.84398644,4.482,Kepler,CANDIDATE,511.0,5509.0,2.9315
204.39,2472.1,1.085,5.52,7.748094239,4.439,Kepler,CANDIDATE,964.0,5973.0,3.5957
2.77,1182.3,0.524,1.8,23.96793669,4.728,Kepler,CANDIDATE,329.0,3747.0,3.827
11.39,824.3,0.524,1.82,8.29561738,4.728,Kepler,CANDIDATE,469.0,3747.0,1.3421
10.55,1558.0,0.517,2.1,8.11437482,4.753,Kepler,CANDIDATE,460.0,3692.0,2.2736
14.81,82872.0,0.932,27.5,38.036729482,4.521,Kepler,FALSE POSITIVE,500.0,5575.0,4.34617
421.08,2450.6,0.826,30.09,4.64090031,4.5,Kepler,CANDIDATE,1155.0,6463.0,35.512
266.76,616.0,0.826,13.65,3.747838198,4.569,Kepler,FALSE POSITIVE,1031.0,5514.0,5.0642
137.91,430.2,1.402,2.89,14.74914825,4.191,Kepler,CANDIDATE,874.0,5847.0,6.0995
39.33,1175.4,0.999,3.38,21.81295996,4.41,Kepler,CANDIDATE,639.0,5601.0,4.3791
104.0,15148.0,0.776,10.34,7.91936937,4.588,Kepler,FALSE POSITIVE,814.0,5690.0,3.3148
3400.48,8098.0,0.99,72.77,1.028436523,4.428,Kepler,CANDIDATE,1947.0,6228.0,1.8606
30.54,15337.0,0.833,11.01,15.37562369,4.496,Kepler,CANDIDATE,600.0,4986.0,3.3169
52.82,887.9,0.732,2.11,8.10363271,4.574,Kepler,CANDIDATE,687.0,4861.0,3.161
108.84,417.5,0.732,1.46,4.71510843,4.574,Kepler,CANDIDATE,823.0,4861.0,2.506
165.33,780.7,0.849,2.44,6.365839713,4.554,Kepler,CANDIDATE,914.0,5776.0,2.9721
284.25,962.4,0.997,3.86,5.97581754,4.471,Kepler,FALSE POSITIVE,1047.0,6108.0,3.065
597.19,1177.9,0.863,26.25,2.446737317,4.548,Kepler,FALSE POSITIVE,1261.0,5764.0,4.7211
257.29,10859.0,0.791,8.99,3.04033046,4.519,Kepler,CANDIDATE,1021.0,5035.0,1.8411
32.67,3081.4,0.817,5.0,15.33528675,4.581,Kepler,CANDIDATE,610.0,5251.0,3.897
314.15,50.0,1.402,1.06,7.95825328,4.191,Kepler,CANDIDATE,1074.0,5847.0,4.377
12.61,5073.8,0.817,6.5,31.33046135,4.581,Kepler,CANDIDATE,481.0,5251.0,5.176
351.05,16228.0,0.898,12.28,3.9043425,4.526,Kepler,FALSE POSITIVE,1104.0,5810.0,3.831
95.03,44791.0,0.821,17.61,9.286358079,4.523,Kepler,FALSE POSITIVE,796.0,5670.0,3.49949
388.71,2453.9,0.869,31.44,3.951405455,4.539,Kepler,FALSE POSITIVE,1133.0,6046.0,2.1862
67.65,3341.8,1.384,7.89,23.65369415,4.191,Kepler,CANDIDATE,731.0,5739.0,8.2183
146.67,504.6,1.384,3.06,13.23352214,4.191,Kepler,CANDIDATE,888.0,5739.0,6.7372
406.94,285.0,1.384,2.32,6.15560285,4.191,Kepler,CANDIDATE,1146.0,5739.0,4.9843
1718.04,115.9,1.384,1.62,2.090811305,4.191,Kepler,CANDIDATE,1642.0,5739.0,3.388
1066.86,120.3,1.402,1.53,3.180027898,4.191,Kepler,CANDIDATE,1458.0,5847.0,3.5797
24.64,370.3,1.384,2.67,50.4467417,4.191,Kepler,CANDIDATE,568.0,5739.0,7.159
33.99,1037.3,0.756,2.35,11.76307164,4.603,Kepler,CANDIDATE,616.0,4959.0,2.9076
4.22,862.7,0.756,2.37,56.2279271,4.603,Kepler,CANDIDATE,366.0,4959.0,3.57
244.87,1268.1,0.701,17.06,2.384052875,4.58,Kepler,FALSE POSITIVE,1010.0,4794.0,3.0918
55.37,875.4,0.779,2.25,7.953547,4.536,Kepler,CANDIDATE,696.0,4768.0,2.6312
132.08,391.8,0.779,1.48,4.14451656,4.536,Kepler,CANDIDATE,864.0,4768.0,2.3421
364.23,6044.3,0.988,38.33,4.859386384,4.47,Kepler,FALSE POSITIVE,1114.0,6072.0,2.2757
61.16,9768.0,0.793,8.24,10.526294577,4.553,Kepler,CANDIDATE,713.0,5386.0,2.5211
274.98,3812.1,0.877,5.39,4.583520948,4.54,Kepler,CANDIDATE,1038.0,5815.0,2.7055
372.62,510.6,0.949,2.66,3.76181843,4.472,Kepler,CANDIDATE,1121.0,5653.0,3.5176
71.5,1024.4,0.826,3.01,8.20396958,4.499,Kepler,CANDIDATE,742.0,5015.0,2.9667
33.48,647.5,0.826,3.01,14.49645186,4.499,Kepler,CANDIDATE,613.0,5015.0,4.016
101.78,655.9,0.817,2.19,6.54626149,4.581,Kepler,CANDIDATE,810.0,5251.0,2.75
23.6,1149.4,0.686,2.31,12.71809866,4.592,Kepler,CANDIDATE,562.0,4702.0,3.0957
5.88,1563.8,0.686,2.64,36.06588163,4.592,Kepler,CANDIDATE,397.0,4702.0,4.3246
547.9,2877.4,1.135,6.21,4.190425659,4.392,Kepler,CANDIDATE,1234.0,6073.0,2.8589
415.1,2020.3,0.978,4.35,3.709870784,4.463,Kepler,CANDIDATE,1151.0,5727.0,3.0694
66.08,1187.5,0.987,3.75,16.3297527,4.444,Kepler,CANDIDATE,727.0,5878.0,6.271
22.24,25391.0,0.785,13.84,27.807566216,4.584,Kepler,CANDIDATE,554.0,5862.0,4.21587
9.88,3604.6,1.238,7.59,80.8723469,4.222,Kepler,CANDIDATE,452.0,5510.0,11.195
196.31,4357.2,0.704,26.82,3.166465862,4.575,Kepler,FALSE POSITIVE,954.0,4968.0,2.9381
60.88,269.6,1.317,2.29,24.99324319,4.181,Kepler,CANDIDATE,712.0,5718.0,5.9409
